Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ascenso total,Descenso total,Longitud media de zancada,GAP medio,Normalized Power® (NP®),Training Stress Score®,Potencia media,Potencia máxima,Pasos,Repeticiones totales,Series totales,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Carrera,2025-05-21 13:08:56,false,"Bilbao - Base","6.99","461","00:40:16","147","165","3.2","166","188","5:45","4:25","35","52","1.05","5:49","285","0.0","279","423","6,650","--","--","No","00:02:37.9","8","00:40:13","00:40:16","5","26"
Carrera,2025-05-15 18:42:48,false,"Bilbao Carrera","5.17","328","00:30:51","137","154","2.7","165","174","5:58","3:34","34","44","1.02","5:57","289","0.0","277","505","5,092","--","--","No","00:01:05.0","6","00:30:38","00:30:51","-12","7"
Carrera,2025-05-08 16:22:51,false,"Bilbao Carrera","7.17","483","00:41:57","144","161","3.2","160","182","5:51","3:11","39","57","1.06","5:59","285","0.0","268","502","6,914","--","--","No","00:01:15.2","8","00:40:05","00:41:57","2","29"
Trail running,2025-05-04 09:30:25,false,"Barrika Pirata Trail 2025","12.81","1,073","01:19:19","173","187","5.0","149","238","6:12","3:49","362","363","1.09","5:53","301","0.0","266","489","12,394","--","--","No","00:04:22.3","13","01:16:03","01:19:19","5","128"
Carrera,2025-05-02 12:41:17,false,"Bilbao Carrera","5.31","334","00:30:04","137","148","2.7","166","174","5:40","4:39","24","33","1.07","5:42","287","0.0","283","374","4,966","--","--","No","00:01:49.6","6","00:30:03","00:30:04","15","29"
Trail running,2025-04-30 15:37:05,false,"Zalla - Base","5.06","382","00:38:37","138","154","2.4","148","200","7:38","3:39","130","158","0.88","7:08","245","0.0","225","378","5,900","--","--","No","00:00:22.7","6","00:38:26","00:38:37","481","556"
Carrera,2025-04-29 15:19:20,false,"Bilbao - Base","6.89","432","00:40:01","140","152","3.0","165","178","5:48","4:36","52","68","1.04","5:55","275","0.0","271","396","6,610","--","--","No","00:00:01.1","8","00:39:51","00:40:01","4","29"
Trail running,2025-04-27 10:00:10,false,"BKT - Loiu Trail 2025","10.05","842","01:03:45","175","190","5.0","151","235","6:20","3:46","382","381","1.04","5:51","294","0.0","260","474","10,238","--","--","No","00:00:22","11","01:02:22","01:03:45","25","281"
Carrera,2025-04-26 16:59:40,false,"Bilbao - Base","4.55","294","00:26:33","145","174","3.0","163","210","5:50","3:43","31","31","1.05","5:57","288","0.0","270","457","4,374","--","--","No","00:03:30.6","5","00:26:09","00:30:14","5","21"
Trail running,2025-04-24 17:46:35,false,"Bilbao - Base","9.49","671","01:00:23","151","178","3.6","160","178","6:22","4:47","283","223","0.98","5:58","276","0.0","267","413","9,674","--","--","No","00:03:42.4","10","01:00:03","01:08:27","14","248"
Carrera,2025-04-23 17:32:31,false,"Bilbao Carrera","4.95","291","00:31:18","127","149","2.3","161","179","6:20","4:51","67","107","0.98","6:37","249","0.0","244","377","5,082","--","--","No","00:05:50.7","5","00:30:55","00:33:48","21","71"
Trail running,2025-04-16 12:12:17,false,"Arrigorriaga Trail running","5.63","408","00:34:30","154","176","3.3","156","246","6:08","4:12","167","166","1.04","5:44","287","0.0","273","420","5,410","--","--","No","00:03:09.6","6","00:34:29","00:34:30","80","238"
Carrera,2025-04-13 20:31:49,false,"Bilbao - Tirada larga","16.81","1,032","01:35:48","141","152","3.6","161","180","5:42","3:54","46","62","1.09","5:48","279","0.0","274","437","15,418","--","--","No","00:00:45.7","18","01:35:06","01:35:48","-11","30"
Carrera,2025-04-11 18:51:10,false,"Bilbao - Anaeróbica","8.99","580","00:50:01","149","181","3.4","165","200","5:34","3:18","38","43","1.09","5:38","302","0.0","288","479","8,196","--","--","No","00:00:01.2","19","00:49:58","00:50:01","0","20"
