name,activityType,startTimeLocal,locationName,duration,distance,elevationGain,elevationLoss,avgHr,maxHr,avgDoubleCadence,maxDoubleCadence,avgStrideLength,calories,bmrCalories,startLatitude,startLongitude
Athens Carrera,running,1746912203000.0,Athens,1990213.0126953125,421712.98828125,6400.0,6900.0,149.0,177.0,154.8125,231.0,82.12410956182974,1231.8658799999998,159.22075999999998,37.99074520356953,23.747555930167437
Santurce Carrera,running,1745671739000.0,Santurce,1786515.9912109375,449952.978515625,1800.0,5000.0,164.0,185.0,164.203125,184.0,92.00081072046467,1269.5760599999999,142.46068,43.325608391314745,-3.030608519911766
Bilbao Carrera,running,1745443531000.0,Bilbao,1819375.9765625,463468.017578125,1900.0,2400.0,149.0,174.0,162.6875,203.0,94.05165890541966,1160.63554,146.6507,43.26394750736654,-2.930901674553752
Bilbao Carrera,running,1745354492000.0,Bilbao,2415496.09375,600289.013671875,1200.0,2100.0,159.0,185.0,163.1875,187.0,91.36102273635322,1646.6778599999998,192.74092,43.265541242435575,-2.929653776809573
Santurce - Base,running,1744981235000.0,Santurce,1511373.046875,314871.9970703125,4700.0,2400.0,146.0,179.0,159.234375,179.0,78.50144975863,888.28424,121.51057999999999,43.326548002660275,-3.031077738851309
Entrenamiento en cinta,treadmill_running,1744464910000.0,,2241232.91015625,528000.9765625,0.0,0.0,166.0,183.0,152.671875,172.0,92.58413893079428,1600.58764,180.17085999999998,,
Entrenamiento en cinta,treadmill_running,1743961651000.0,,1615167.96875,400702.001953125,,,162.0,189.0,152.140625,240.0,97.75257408768687,1160.63554,129.89061999999998,,
Entrenamiento en cinta,treadmill_running,1743193994000.0,,1200718.017578125,278421.9970703125,,,158.0,185.0,149.671875,172.0,93.10743788254044,854.7640799999999,96.37046,,
Entrenamiento en cinta,treadmill_running,1743021402000.0,,1556557.0068359375,316678.0029296875,,,153.0,184.0,141.984375,169.0,85.9871165773035,1030.7449199999999,125.7006,,
Entrenamiento en cinta,treadmill_running,1740858139000.0,,1897418.9453125,486072.998046875,,,163.0,185.0,157.921875,174.0,97.16257859367911,1386.89662,150.84071999999998,,
Maratón Sevilla,running,1740299822000.0,Sevilla,19536839.84375,4270932.8125,7100.0,6400.0,161.0,181.0,160.453125,185.0,81.72527254141106,11623.115479999999,1554.49742,37.37338920123875,-5.990315107628703
Bilbao Carrera,running,1739999895000.0,Bilbao,1705939.94140625,401735.009765625,1300.0,1000.0,158.0,186.0,158.8125,173.0,88.80649928312968,1110.3553,134.08064,43.26652402058244,-2.92877652682364
Bilbao Carrera,running,1739392559000.0,Bilbao,1981750.9765625,511197.998046875,900.0,2700.0,161.0,190.0,152.546875,177.0,101.77138417573477,1412.0367399999998,159.22075999999998,43.26456030830741,-2.931579267606139
Santurce Carrera,running,1739014994000.0,Santurce,1605901.9775390625,401763.9892578125,900.0,3900.0,168.0,193.0,162.140625,185.0,92.47201355633065,1152.2555,129.89061999999998,43.32555717788637,-3.030811110511422
Bilbao Carrera,running,1738605782000.0,Bilbao,3620954.1015625,902915.0390625,2400.0,2900.0,168.0,188.0,165.359375,190.0,90.34339763106459,2539.1521199999997,289.11138,43.265234883874655,-2.929437607526779
Bilbao Carrera,running,1738170476000.0,Bilbao,13649275.390625,3001207.03125,8800.0,10000.0,153.0,178.0,164.359375,191.0,80.27064117260065,8199.869139999999,1085.21518,43.26453742571175,-2.9317293874919415
