"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Day off","Day Off","","","","2025-01-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AeL1 45'","Run","rodar fácil","0.75","","2025-01-23","","7456.740234375","","","","","0.759722232818604","2.80200004577637","","166","","145","175","","","1.07013127678752","95.68","5","6","10","14","3","4","4","","","","","","","","","","","","","","3","5"
"AeL1 nado continuo","Swim","con palas y aletas","","1000","2025-01-24","","1000","","",""," *01/24/2025 Ganix Pereda: Muy fácil, los otros días no había llevado palas y aletas y hoy con las 2 muy fácil*","0.260277777777778","1.02774922918808","","21","","129","152","","","0.397889770909712","1.64","7","5","3","2","0","0","0","","","","","","","","","","","","","","1","5"
"Activación 30'","Run","Rodar 25’ AeL1 5x30'' en progresión/30'' trote","0.5","","2025-01-25","","5602.5","","","","","0.506666660308838","3.09999990463257","","170","","153","177","","","1.18895755026943","78.01","1","1","2","7","10","5","4","","","","","","","","","","","","","","3","5"
"Running","Run","","","","2025-01-26","","12162.400390625","","",""," *01/26/2025 Ganix Pereda: De pecho iba bien pero al final la piernas cansaditas. Pensé que iba a poder apretar al final pero me pesaban las piernas 🤙🏼*","0.976388871669769","3.48399996757507","","176","","170","184","","","1.31153102053245","185.89","0","0","0","1","0","2","54","","","","","","","","","","","","","","7","7"
"AeL1","Swim","5x200 45"" calentar palas-pull aletas respirando cada 3 pull","","1000","2025-01-27","","1000","","","","","0.279166666666667","0.956937799043062","","25","","118","138","","","0.370967875962587","1.43","14","3","0","0","0","0","0","","","","","","","","","","","","","","3","7"
"AeL1 20-30'","Run","rodar fácil","0.333333333333333","","2025-01-28","","4612.5498046875","","","","","0.430277764797211","2.96799993515015","","168","","138","152","","","1.12897046210571","59.49","1","7","12","5","0","0","0","","","","","","","","","","","","","","3","5"
"Day off","Day Off","","","","2025-01-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AeL1 45'","Run","rodar fácil","0.75","","2025-01-30","","8337.9697265625","","","","","0.750833332538605","3.0699999332428","","168","","155","165","","","1.17045423578263","113.13","1","1","1","9","12","19","3","","","","","","","","","","","","","","3","5"
"AeL1-AeM","Swim","300 calentar estilos 3x100 progresivas 30"" 4x150 AeM 30"" (2 primeras normal 2 últimos palas-pull) 100 suaves","","1300","2025-01-31","","1375","","",""," *01/31/2025 Ganix Pereda: Se ha vuelto loco el GPS. He hecho según ponía. Primer día exigente en la piscina.*","0.401111111111111","0.922818791946309","","25","","133","145","","","0.355007779498477","1.79","3","14","8","0","0","0","0","","","","","","","","","","","","","","6","5"
